"cricinfo_id","headshot_image_url","headshot_primary_image_url","headshot_secondary_image_url"
45041,"https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png"
45041,"https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png"
8501,"https://www.espncricinfo.com/db/PICTURES/CMS/304400/304498.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/304400/304498.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/304400/304498.jpg"
233680,"https://www.espncricinfo.com/db/PICTURES/CMS/350300/350324.4.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/350300/350324.4.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/350300/350324.4.jpg"
520138,"https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png"
766809,"https://www.espncricinfo.com/db/PICTURES/CMS/325900/325913.png","https://www.espncricinfo.com/db/PICTURES/CMS/325900/325913.png","https://www.espncricinfo.com/db/PICTURES/CMS/310500/310586.1.jpg"
437669,"https://www.espncricinfo.com/db/PICTURES/CMS/346900/346965.4.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/346900/346965.4.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/346900/346965.4.jpg"
1112537,"https://www.espncricinfo.com/db/PICTURES/CMS/325900/325912.png","https://www.espncricinfo.com/db/PICTURES/CMS/325900/325912.png","https://www.espncricinfo.com/db/PICTURES/CMS/325900/325921.4.jpg"
509461,"https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png"
52938,"https://www.espncricinfo.com/db/PICTURES/DB/102004/055513.player.jpg","https://www.espncricinfo.com/db/PICTURES/DB/102004/055513.player.jpg","https://www.espncricinfo.com/db/PICTURES/DB/102004/055513.player.jpg"
52938,"https://www.espncricinfo.com/db/PICTURES/DB/102004/055513.player.jpg","https://www.espncricinfo.com/db/PICTURES/DB/102004/055513.player.jpg","https://www.espncricinfo.com/db/PICTURES/DB/102004/055513.player.jpg"
326632,"https://www.espncricinfo.com/db/PICTURES/CMS/321500/321583.png","https://www.espncricinfo.com/db/PICTURES/CMS/321500/321583.png","https://www.espncricinfo.com/db/PICTURES/CMS/313700/313748.jpg"
326632,"https://www.espncricinfo.com/db/PICTURES/CMS/321500/321583.png","https://www.espncricinfo.com/db/PICTURES/CMS/321500/321583.png","https://www.espncricinfo.com/db/PICTURES/CMS/313700/313748.jpg"
326632,"https://www.espncricinfo.com/db/PICTURES/CMS/321500/321583.png","https://www.espncricinfo.com/db/PICTURES/CMS/321500/321583.png","https://www.espncricinfo.com/db/PICTURES/CMS/313700/313748.jpg"
1107568,"https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png"
308967,"https://www.espncricinfo.com/db/PICTURES/CMS/316600/316642.png","https://www.espncricinfo.com/db/PICTURES/CMS/316600/316642.png","https://www.espncricinfo.com/db/PICTURES/CMS/303900/303969.jpg"
308967,"https://www.espncricinfo.com/db/PICTURES/CMS/316600/316642.png","https://www.espncricinfo.com/db/PICTURES/CMS/316600/316642.png","https://www.espncricinfo.com/db/PICTURES/CMS/303900/303969.jpg"
4897,"https://www.espncricinfo.com/db/PICTURES/CMS/44300/44374.player.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/44300/44374.player.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/44300/44374.player.jpg"
4897,"https://www.espncricinfo.com/db/PICTURES/CMS/44300/44374.player.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/44300/44374.player.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/44300/44374.player.jpg"
303669,"https://www.espncricinfo.com/db/PICTURES/CMS/316600/316639.png","https://www.espncricinfo.com/db/PICTURES/CMS/316600/316639.png","https://www.espncricinfo.com/db/PICTURES/CMS/303900/303966.jpg"
303669,"https://www.espncricinfo.com/db/PICTURES/CMS/316600/316639.png","https://www.espncricinfo.com/db/PICTURES/CMS/316600/316639.png","https://www.espncricinfo.com/db/PICTURES/CMS/303900/303966.jpg"
16989,"https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png"
16989,"https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png"
9069,"https://www.espncricinfo.com/db/PICTURES/CMS/304300/304379.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/304300/304379.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/304300/304379.jpg"
9069,"https://www.espncricinfo.com/db/PICTURES/CMS/304300/304379.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/304300/304379.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/304300/304379.jpg"
1193544,"https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png"
14041,"https://www.espncricinfo.com/db/PICTURES/CMS/90600/90664.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/90600/90664.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/90600/90664.jpg"
14041,"https://www.espncricinfo.com/db/PICTURES/CMS/90600/90664.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/90600/90664.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/90600/90664.jpg"
14042,"https://www.espncricinfo.com/db/PICTURES/CMS/304800/304864.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/304800/304864.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/304800/304864.jpg"
14042,"https://www.espncricinfo.com/db/PICTURES/CMS/304800/304864.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/304800/304864.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/304800/304864.jpg"
14042,"https://www.espncricinfo.com/db/PICTURES/CMS/304800/304864.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/304800/304864.jpg","https://www.espncricinfo.com/db/PICTURES/CMS/304800/304864.jpg"
14306,"https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png"
14306,"https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png"
1287040,"https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png","https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png"
